# Manually updated only by `kf bank`; (image, va) is the stable identity.
# Scores retain full precision; --loose affects display classification only.
image	va	unit	name	input_sha256	best_pct	hist_pct	banked_pct	code_size
PSX.EXE	0x80010028	psx.main	main	2a1d1c3a9623bf5a04adf33f783def78f7c091b0a8f841ad2fbca859e16916dc	100.000000000	100.000000000	100.000000000	208
GAME.EXE	0x80014268	game.main	func_80014268	465ec2b9ba77603353d54bc80306fd62edabdcf65daf64618f4160023e8bf08a	100.000000000	100.000000000	100.000000000	36
GAME.EXE	0x8001428c	game.main	main	465ec2b9ba77603353d54bc80306fd62edabdcf65daf64618f4160023e8bf08a	100.000000000	100.000000000	100.000000000	136
GAME.EXE	0x80014314	game.sprite_add_ft4	func_80014314	fcd9da8de343b46f1cdee0387ac2537a5ca6de9809620110340226ca4db53c2a	98.973210000	98.973210000	98.973210000	448
GAME.EXE	0x80014674	game.func_80014674	func_80014674	c192a9d96b38f8f1791cc596ceb714ceb3b5d2140a983b80be71e02689d4400a	100.000000000	100.000000000	100.000000000	68
GAME.EXE	0x800146b8	game.game	game_main_loop	2c406a505bef9e8403006187e1c0587ad4fb2500bba2dae7b8e7755f446f7e1c	100.000000000	100.000000000	100.000000000	740
GAME.EXE	0x8001499c	game.game	game_shutdown	2c406a505bef9e8403006187e1c0587ad4fb2500bba2dae7b8e7755f446f7e1c	100.000000000	100.000000000	100.000000000	56
GAME.EXE	0x800149d4	game.game	frame_pacer_vsync_callback	2c406a505bef9e8403006187e1c0587ad4fb2500bba2dae7b8e7755f446f7e1c	100.000000000	100.000000000	100.000000000	32
GAME.EXE	0x800149f4	game.game	frame_pacer_wait	2c406a505bef9e8403006187e1c0587ad4fb2500bba2dae7b8e7755f446f7e1c	100.000000000	100.000000000	100.000000000	112
GAME.EXE	0x80014a64	game.matrix_rotation	angle_approach	918c75a371281a6c8c10e2fde37249aec639bf0f87c30d7072b660b7f44b2cbb	100.000000000	100.000000000	100.000000000	200
GAME.EXE	0x80014b2c	game.matrix_rotation	angle_to_forward_xz	918c75a371281a6c8c10e2fde37249aec639bf0f87c30d7072b660b7f44b2cbb	100.000000000	100.000000000	100.000000000	80
GAME.EXE	0x80014b7c	game.matrix_rotation	matrix_set_rotation_x	918c75a371281a6c8c10e2fde37249aec639bf0f87c30d7072b660b7f44b2cbb	100.000000000	100.000000000	100.000000000	112
GAME.EXE	0x80014bec	game.matrix_rotation	matrix_set_rotation_y	918c75a371281a6c8c10e2fde37249aec639bf0f87c30d7072b660b7f44b2cbb	100.000000000	100.000000000	100.000000000	112
GAME.EXE	0x80014c5c	game.matrix_rotation	matrix_set_rotation_z	918c75a371281a6c8c10e2fde37249aec639bf0f87c30d7072b660b7f44b2cbb	100.000000000	100.000000000	100.000000000	112
GAME.EXE	0x80014ccc	game.matrix_rotation	matrix_set_rotation_yxz	918c75a371281a6c8c10e2fde37249aec639bf0f87c30d7072b660b7f44b2cbb	100.000000000	100.000000000	100.000000000	104
GAME.EXE	0x80014d34	game.matrix_rotation	pitch_yaw_to_forward_vector	918c75a371281a6c8c10e2fde37249aec639bf0f87c30d7072b660b7f44b2cbb	100.000000000	100.000000000	100.000000000	212
GAME.EXE	0x80014e08	game.vector_math	vector2s_scale_shift11	25c85ba92badb38f4611299de74d1890c954c67e35e6babfd84821cdf3e97d4e	100.000000000	100.000000000	100.000000000	64
GAME.EXE	0x80014e48	game.vector_math	vector3s_scale_shift12	25c85ba92badb38f4611299de74d1890c954c67e35e6babfd84821cdf3e97d4e	100.000000000	100.000000000	100.000000000	92
GAME.EXE	0x80014ea4	game.vector_math	vector2s_scale_shift12	25c85ba92badb38f4611299de74d1890c954c67e35e6babfd84821cdf3e97d4e	100.000000000	100.000000000	100.000000000	64
GAME.EXE	0x80014ee4	game.vector_math	vector3s_scale_shift12_alt	25c85ba92badb38f4611299de74d1890c954c67e35e6babfd84821cdf3e97d4e	100.000000000	100.000000000	100.000000000	92
GAME.EXE	0x80014f40	game.vector_math	vector3i_add_xz	25c85ba92badb38f4611299de74d1890c954c67e35e6babfd84821cdf3e97d4e	100.000000000	100.000000000	100.000000000	44
GAME.EXE	0x80014f6c	game.vector_math	angle_within_tolerance	25c85ba92badb38f4611299de74d1890c954c67e35e6babfd84821cdf3e97d4e	82.333336000	82.333336000	82.333336000	60
GAME.EXE	0x80014fa8	game.vector_math	angle_mod_delta_le_half_turn	25c85ba92badb38f4611299de74d1890c954c67e35e6babfd84821cdf3e97d4e	100.000000000	100.000000000	100.000000000	16
GAME.EXE	0x80014fb8	game.vector_math	vector_xz_to_angle	25c85ba92badb38f4611299de74d1890c954c67e35e6babfd84821cdf3e97d4e	96.363640000	96.363640000	96.363640000	176
GAME.EXE	0x80015068	game.fixed_vector2	fixed_vector2_length	be2f62cc44e28bde2517afb548af66a517d11ecd0852ebcfdd8eb4f0c14201a5	100.000000000	100.000000000	100.000000000	64
GAME.EXE	0x800150a8	game.player_weapon	player_weapon_load_records_and_mirror_angles	05194d71f0bfb3020441955ffb3b608788a26cd7c7c6da00e6f89592542535f1	100.000000000	100.000000000	100.000000000	84
GAME.EXE	0x800150fc	game.asset_aux_block	asset_aux_block_load	7767f8fdb2258f0080608cdb0bcf31b7876867fbadf99b0b943ce4f15731a005	100.000000000	100.000000000	100.000000000	44
GAME.EXE	0x80015128	game.asset_aux_block	fixed6_ratio_step	7767f8fdb2258f0080608cdb0bcf31b7876867fbadf99b0b943ce4f15731a005	100.000000000	100.000000000	100.000000000	60
GAME.EXE	0x80015164	game.player_death	player_death_begin	11f72529f77c6d7e85a8eaddd1b34af1575eede82df500a4dc314b672a1230a8	100.000000000	100.000000000	100.000000000	104
